,Unnamed: 0,C_LZ,C_bzip,C_gzip,LZ,LZ_rev,bzip,bzip_rev,conservativity,gzip,gzip_rev,max_model_size,monotonicity,num_chars,order_num,order_type,quantifier,quantity,uniformity
1219,1219,847.0914718078818,144.0,362.5,50,42,145,143,True,369,356,9,up,4,5,lex,last_3,False,0.8889146381936577
1220,1220,331.4705759248233,95.0,209.5,18,18,95,95,True,210,209,9,down,4,5,lex,not_all,True,0.9155336972568408
1221,1221,469.5833158934997,120.5,259.0,20,31,130,111,False,257,261,9,up,4,5,lex,not_only,True,0.9155336972568408
1222,1222,1417.957463678411,229.5,463.5,83,71,236,223,True,489,438,9,up,4,5,lex,most,True,0.5946944988040879
1223,1223,1417.957463678411,229.5,463.5,83,71,236,223,False,489,438,9,up,4,5,lex,M,True,0.5946944988040879
1224,1224,1095.694403751499,194.0,405.5,59,60,195,193,True,413,398,9,up,4,6,lex,at_least_4,True,0.8505682013252309
1225,1225,929.9591157890877,173.0,368.5,50,51,175,171,True,373,364,9,up,4,6,lex,at_least_6,True,0.9916457811194652
1226,1226,1482.4100756637936,248.0,450.0,81,80,246,250,True,458,442,9,non,4,6,lex,at_least_6_or_at_most_2,True,0.6348405259724654
1227,1227,699.7712158412938,120.5,337.5,41,35,121,120,True,342,333,9,non,4,6,lex,even,True,0.5014619883040936
1228,1228,1095.694403751499,200.0,408.0,59,60,204,196,True,415,401,9,down,4,6,lex,at_most_3,True,0.8505682013252309
1229,1229,1003.6192437723818,193.5,397.5,54,55,194,193,True,405,390,9,up,4,6,lex,at_least_3,True,0.6264863070919308
1230,1230,856.2989878057938,206.0,305.5,49,44,220,192,True,312,299,9,up,4,6,lex,first_3,False,0.8889146381936577
1231,1231,847.0914718078818,152.0,363.0,43,49,154,150,True,362,364,9,up,4,6,lex,last_3,False,0.8889146381936577
1232,1232,423.5457359039409,95.0,224.5,27,19,97,93,True,222,227,9,down,4,6,lex,not_all,True,0.9155336972568408
1233,1233,469.5833158934997,120.5,259.0,20,31,130,111,False,257,261,9,up,4,6,lex,not_only,True,0.9155336972568408
1234,1234,1924.3708435635574,355.0,527.0,109,100,356,354,True,539,515,9,up,4,6,lex,most,True,0.5946944988040879
1235,1235,1924.3708435635574,355.0,527.0,109,100,356,354,False,539,515,9,up,4,6,lex,M,True,0.5946944988040879
1236,1236,1095.694403751499,194.0,405.5,59,60,195,193,True,413,398,9,up,4,7,lex,at_least_4,True,0.8505682013252309
1237,1237,929.9591157890877,173.0,368.5,50,51,175,171,True,373,364,9,up,4,7,lex,at_least_6,True,0.9916457811194652
1238,1238,1482.4100756637936,248.0,450.0,81,80,246,250,True,458,442,9,non,4,7,lex,at_least_6_or_at_most_2,True,0.6348405259724654
1239,1239,699.7712158412938,120.5,337.5,41,35,121,120,True,342,333,9,non,4,7,lex,even,True,0.5014619883040936
1240,1240,1095.694403751499,200.0,408.0,59,60,204,196,True,415,401,9,down,4,7,lex,at_most_3,True,0.8505682013252309
1241,1241,1003.6192437723818,193.5,397.5,54,55,194,193,True,405,390,9,up,4,7,lex,at_least_3,True,0.6264863070919308
1242,1242,856.2989878057938,206.0,305.5,49,44,220,192,True,312,299,9,up,4,7,lex,first_3,False,0.8889146381936577
1243,1243,847.0914718078818,152.0,363.0,43,49,154,150,True,362,364,9,up,4,7,lex,last_3,False,0.8889146381936577
1244,1244,423.5457359039409,95.0,224.5,27,19,97,93,True,222,227,9,down,4,7,lex,not_all,True,0.9155336972568408
1245,1245,331.4705759248233,95.0,209.5,18,18,95,95,False,210,209,9,up,4,7,lex,not_only,True,0.9155336972568408
1246,1246,1924.3708435635574,355.0,527.0,109,100,356,354,True,539,515,9,up,4,7,lex,most,True,0.5946944988040879
1247,1247,1924.3708435635574,355.0,527.0,109,100,356,354,False,539,515,9,up,4,7,lex,M,True,0.5946944988040879
1248,1248,1049.6568237619406,202.0,401.5,55,59,210,194,True,404,399,9,up,4,8,lex,at_least_4,True,0.8505682013252309
1249,1249,911.544083793264,172.5,358.0,48,51,177,168,True,362,354,9,up,4,8,lex,at_least_6,True,0.9916457811194652
1250,1250,1427.1649796763227,254.5,440.5,74,81,269,240,True,446,435,9,non,4,8,lex,at_least_6_or_at_most_2,True,0.6348405259724654
1251,1251,598.4885398642642,130.5,332.0,27,38,133,128,True,331,333,9,non,4,8,lex,even,True,0.5014619883040936
1252,1252,1049.6568237619406,203.5,403.5,55,59,213,194,True,407,400,9,down,4,8,lex,at_most_3,True,0.8505682013252309
1253,1253,948.3741477849112,194.0,390.5,49,54,211,177,True,393,388,9,up,4,8,lex,at_least_3,True,0.6264863070919308
1254,1254,957.5816637828231,208.0,313.5,49,55,222,194,True,314,313,9,up,4,8,lex,first_3,False,0.8889146381936577
1255,1255,837.8839558099701,176.0,370.0,43,48,178,174,True,366,374,9,up,4,8,lex,last_3,False,0.8889146381936577
1256,1256,423.5457359039409,95.0,224.5,27,19,97,93,True,222,227,9,down,4,8,lex,not_all,True,0.9155336972568408
1257,1257,506.4133798851468,116.0,259.0,27,28,121,111,False,262,256,9,up,4,8,lex,not_only,True,0.9155336972568408
1258,1258,1684.975427617852,319.5,496.0,94,89,339,300,True,504,488,9,up,4,8,lex,most,True,0.5946944988040879
1259,1259,1684.975427617852,319.5,496.0,94,89,339,300,False,504,488,9,up,4,8,lex,M,True,0.5946944988040879
1260,1260,1049.6568237619406,202.0,401.5,55,59,210,194,True,404,399,9,up,4,9,lex,at_least_4,True,0.8505682013252309
1261,1261,911.544083793264,172.5,358.0,48,51,177,168,True,362,354,9,up,4,9,lex,at_least_6,True,0.9916457811194652
1262,1262,1427.1649796763227,254.5,440.5,74,81,269,240,True,446,435,9,non,4,9,lex,at_least_6_or_at_most_2,True,0.6348405259724654
1263,1263,598.4885398642642,130.5,332.0,27,38,133,128,True,331,333,9,non,4,9,lex,even,True,0.5014619883040936
1264,1264,1049.6568237619406,203.5,403.5,55,59,213,194,True,407,400,9,down,4,9,lex,at_most_3,True,0.8505682013252309
1265,1265,948.3741477849112,194.0,390.5,49,54,211,177,True,393,388,9,up,4,9,lex,at_least_3,True,0.6264863070919308
1266,1266,957.5816637828231,208.0,313.5,49,55,222,194,True,314,313,9,up,4,9,lex,first_3,False,0.8889146381936577
1267,1267,837.8839558099701,176.0,370.0,43,48,178,174,True,366,374,9,up,4,9,lex,last_3,False,0.8889146381936577
1268,1268,423.5457359039409,95.0,224.5,27,19,97,93,True,222,227,9,down,4,9,lex,not_all,True,0.9155336972568408
